id,M_label_id,M_label_name,M_label_type,M_label_parent,M_label_abbr,label_isbbox,label_isrequired,label_icon_url,label_placeholder,label_color
1,lab_1,Encoding/Rendering techiques,0,root,EC,0,1,,,
2,lab_2,Bar chart,1,lab_1,BCR,1,0,,,
3,lab_3,Point chart,1,lab_1,POT,1,0,,,
4,lab_4,Surface & Volumes,1,lab_1,SUR,1,0,,,
5,lab_5,Encoding comments,3,lab_1,ENC,0,0,,,
6,lab_6,Hardness,0,root,HC,0,0,,,
7,lab_7,Easy,2,lab_6,EAS,0,0,,,
8,lab_8,Neutral,2,lab_6,NEU,0,0,,,
9,lab_9,Hard,2,lab_6,HAR,0,0,,,
10,lab_10,Dimensionality,0,root,DIM,0,1,,,
11,lab_11,2D,1,lab_10,2D,0,0,,,
12,lab_12,3D,1,lab_10,3D,0,0,,,
13,lab_13,I cannot tell,1,lab_10,ICT,0,0,,,
